"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.springframework.samples.petclinic.model","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/model/Person.java","3","29","The class 'Person' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"2","org.springframework.samples.petclinic.model","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/model/Pet.java","3","32","The class 'Pet' is suspected to be a Data Class (WOC=27.273%, NOPA=0, NOAM=8, WMC=12)","Design","DataClass"
"3","org.springframework.samples.petclinic.model","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/model/Role.java","3","14","The class 'Role' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"4","org.springframework.samples.petclinic.model","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/model/User.java","3","18","The class 'User' is suspected to be a Data Class (WOC=11.111%, NOPA=0, NOAM=8, WMC=10)","Design","DataClass"
"5","org.springframework.samples.petclinic.model","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/model/Visit.java","3","29","The class 'Visit' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"6","org.springframework.samples.petclinic.repository.jdbc","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/repository/jdbc/JdbcPet.java","3","26","The class 'JdbcPet' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"7","org.springframework.samples.petclinic.repository.jpa","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/repository/jpa/JpaOwnerRepositoryImpl.java","3","78","Call to `getSingleResult` on foreign value `countQuery` (degree 1)","Design","LawOfDemeter"
"8","org.springframework.samples.petclinic.repository.jpa","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/repository/jpa/JpaOwnerRepositoryImpl.java","3","88","Call to `getSingleResult` on foreign value `query` (degree 1)","Design","LawOfDemeter"
"9","org.springframework.samples.petclinic.repository.jpa","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/repository/jpa/JpaOwnerRepositoryImpl.java","3","117","Call to `getSingleResult` on foreign value `countQuery` (degree 1)","Design","LawOfDemeter"
"10","org.springframework.samples.petclinic.rest.controller","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/rest/controller/BindingErrorsResponse.java","3","99","The class 'BindingError' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=4, WMC=6)","Design","DataClass"
"11","org.springframework.samples.petclinic.rest.controller","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/rest/controller/OwnerRestController.java","3","17","A value of 23 may denote a high amount of coupling within the class (threshold: 20)","Design","CouplingBetweenObjects"
"12","org.springframework.samples.petclinic.service","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/service/ClinicServiceImpl.java","3","16","A value of 24 may denote a high amount of coupling within the class (threshold: 20)","Design","CouplingBetweenObjects"
